[2021-07-23 07:22:26.678] [remoteagent] [info] 

*
* Visual Studio Code Server
*
* Reminder: You may only use this software with Visual Studio family products,
* as described in the license https://aka.ms/vscode-remote/license
*


[2021-07-23 07:22:34.518] [remoteagent] [warning] Resolved variables received without matching request 28
[2021-07-23 07:22:34.526] [remoteagent] [warning] Resolved variables received without matching request 37
[2021-07-23 07:22:34.526] [remoteagent] [warning] Resolved variables received without matching request 29
[2021-07-23 07:22:34.530] [remoteagent] [warning] Resolved variables received without matching request 30
[2021-07-23 07:22:34.538] [remoteagent] [warning] Resolved variables received without matching request 31
[2021-07-23 07:22:34.539] [remoteagent] [warning] Resolved variables received without matching request 32
[2021-07-23 07:22:34.539] [remoteagent] [warning] Resolved variables received without matching request 33
[2021-07-23 07:22:34.539] [remoteagent] [warning] Resolved variables received without matching request 34
[2021-07-23 07:22:34.562] [remoteagent] [warning] Resolved variables received without matching request 35
[2021-07-23 07:22:34.571] [remoteagent] [warning] Resolved variables received without matching request 36
[2021-07-23 07:22:34.574] [remoteagent] [warning] Resolved variables received without matching request 37
[2021-07-23 07:22:34.577] [remoteagent] [warning] Resolved variables received without matching request 38
[2021-07-23 07:22:34.585] [remoteagent] [warning] Resolved variables received without matching request 39
[2021-07-23 07:22:34.605] [remoteagent] [warning] Resolved variables received without matching request 40
[2021-07-23 07:22:34.612] [remoteagent] [warning] Resolved variables received without matching request 41
[2021-07-23 07:22:34.612] [remoteagent] [warning] Resolved variables received without matching request 42
[2021-07-23 07:22:34.617] [remoteagent] [warning] Resolved variables received without matching request 38
[2021-07-23 07:22:34.629] [remoteagent] [warning] Resolved variables received without matching request 43
[2021-07-23 07:22:34.630] [remoteagent] [warning] Resolved variables received without matching request 39
[2021-07-23 07:22:34.635] [remoteagent] [warning] Resolved variables received without matching request 44
[2021-07-23 07:22:34.635] [remoteagent] [warning] Resolved variables received without matching request 40
[2021-07-23 07:22:34.649] [remoteagent] [warning] Resolved variables received without matching request 45
[2021-07-23 07:22:34.650] [remoteagent] [warning] Resolved variables received without matching request 41
[2021-07-23 07:22:34.650] [remoteagent] [warning] Resolved variables received without matching request 42
[2021-07-23 07:22:34.652] [remoteagent] [warning] Resolved variables received without matching request 46
[2021-07-23 07:22:34.652] [remoteagent] [warning] Resolved variables received without matching request 47
[2021-07-23 07:22:34.652] [remoteagent] [warning] Resolved variables received without matching request 48
[2021-07-23 07:22:34.652] [remoteagent] [warning] Resolved variables received without matching request 43
[2021-07-23 07:22:34.662] [remoteagent] [warning] Resolved variables received without matching request 44
[2021-07-23 07:22:34.663] [remoteagent] [warning] Resolved variables received without matching request 45
[2021-07-23 07:22:34.664] [remoteagent] [warning] Resolved variables received without matching request 46
[2021-07-23 07:22:34.664] [remoteagent] [warning] Resolved variables received without matching request 47
[2021-07-23 07:22:34.665] [remoteagent] [warning] Resolved variables received without matching request 48
[2021-07-23 07:22:34.755] [remoteagent] [warning] Resolved variables received without matching request 49
[2021-07-23 07:22:34.756] [remoteagent] [warning] Resolved variables received without matching request 49
[2021-07-23 07:22:34.833] [remoteagent] [warning] Resolved variables received without matching request 50
[2021-07-23 07:22:34.884] [remoteagent] [warning] Resolved variables received without matching request 51
[2021-07-23 07:22:34.896] [remoteagent] [warning] Resolved variables received without matching request 52
[2021-07-23 07:22:34.918] [remoteagent] [warning] Resolved variables received without matching request 53
[2021-07-23 07:22:34.947] [remoteagent] [warning] Resolved variables received without matching request 54
[2021-07-23 07:22:34.949] [remoteagent] [warning] Resolved variables received without matching request 55
[2021-07-23 07:22:34.949] [remoteagent] [warning] Resolved variables received without matching request 56
[2021-07-23 07:22:34.951] [remoteagent] [warning] Resolved variables received without matching request 57
[2021-07-23 07:22:34.953] [remoteagent] [warning] Resolved variables received without matching request 58
